Word,Sum,Number,Weight
бодряцкий,-1,1,-1.0
бодряческий,-1,1,-1.0
бодяга,-1.0,2.0,-0.5
боевик,0.0,2.0,0.0
боевое искусство,0,1,0.0
божеее,-1,1,-1.0
божеский,1.666666666666667,2.0,0.8333333333333335
божественность,2.0,2.0,1.0
божественный,3.0,3.0,1.0
божество,2.0,2.0,1.0
божечка,-1,1,-1.0
бой,-4.333333333333333,6.0,-0.7222222222222222
бойкий,2.333333333333333,4.0,0.5833333333333333
бойкость,2.0,3.0,0.6666666666666666
бойкот,-1,1,-1.0
бойкотирование,-1,1,-1.0
бойкотировать,-1,1,-1.0
бойня,-2.88888888888889,3.0,-0.9629629629629634
